 nuclei,rxncalcdesc, nninteraction,cell,lattapprox, density,pycno_rate
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   12560000000.000000      ,   2.7909216678445946E-010
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   12700000000.000000      ,   4.0946735116982882E-010
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   12840000000.000000      ,   5.9797121828819140E-010
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   12980000000.000000      ,   8.6925740552290189E-010
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   13120000000.000000      ,   1.2578648963427931E-009
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   13260000000.000000      ,   1.8119170109221800E-009
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   13400000000.000000      ,   2.5981929586606553E-009
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   13540000000.000000      ,   3.7092439465788165E-009
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   13680000000.000000      ,   5.2730601874633669E-009
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   13820000000.000000      ,   7.4659116232718584E-009
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   13960000000.000000      ,   1.0529665138785270E-008
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   14100000000.000000      ,   1.4795163487251443E-008
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   14240000000.000000      ,   2.0701004250734457E-008
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   14380000000.000000      ,   2.8826974499997066E-008
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   14520000000.000000      ,   4.0039398798173036E-008
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   14660000000.000000      ,   5.5442436684312844E-008
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   14800000000.000000      ,   7.6332497681631634E-008
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   14940000000.000000      ,   1.0492360276775717E-007
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   15080000000.000000      ,   1.4355109757591906E-007
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   15220000000.000000      ,   1.9593565750980162E-007
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   15360000000.000000      ,   2.6634146165879681E-007
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   15500000000.000000      ,   3.6120007234873922E-007
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   15640000000.000000      ,   4.8775937720652351E-007
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   15780000000.000000      ,   6.5769118105264930E-007
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   15920000000.000000      ,   8.8242064115116185E-007
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   16060000000.000000      ,   1.1813753233921061E-006
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   16200000000.000000      ,   1.5783412614977755E-006
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   16340000000.000000      ,   2.0994494361328033E-006
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   16480000000.000000      ,   2.7860046571320769E-006
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   16620000000.000000      ,   3.6899429620627289E-006
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   16760000000.000000      ,   4.8721739616904720E-006
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   16900000000.000000      ,   6.4111095204654939E-006
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   17040000000.000000      ,   8.4156431175555901E-006
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   17180000000.000000      ,   1.1020392717941789E-005
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   17320000000.000000      ,   1.4397156108785300E-005
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   17460000000.000000      ,   1.8764943494978426E-005
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   17600000000.000000      ,   2.4404220707758759E-005
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   17740000000.000000      ,   3.1665154785357033E-005
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   17880000000.000000      ,   4.0960309646383222E-005
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   18020000000.000000      ,   5.2864593482845788E-005
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   18160000000.000000      ,   6.8077275034281705E-005
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   18300000000.000000      ,   8.7476636008478238E-005
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   18440000000.000000      ,   1.1209051464268099E-004
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   18580000000.000000      ,   1.4330648728161596E-004
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   18720000000.000000      ,   1.8287565141265563E-004
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   18860000000.000000      ,   2.3291652828096306E-004
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   19000000000.000000      ,   2.9607910817948076E-004
