 nuclei,rxncalcdesc, nninteraction,cell,lattapprox, density,pycno_rate
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   12420000000.000000      ,   8.4635885546538174E-011
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   12560000000.000000      ,   1.2484572911898070E-010
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   12700000000.000000      ,   1.8319477329771706E-010
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   12840000000.000000      ,   2.6757242736002367E-010
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   12980000000.000000      ,   3.8902390079857042E-010
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   13120000000.000000      ,   5.6302571080535616E-010
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   13260000000.000000      ,   8.1114486616494556E-010
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   13400000000.000000      ,   1.1633140359381528E-009
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   13540000000.000000      ,   1.6610242384572959E-009
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   13680000000.000000      ,   2.3616627386098362E-009
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   13820000000.000000      ,   3.3442762590811296E-009
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   13960000000.000000      ,   4.7173445367498760E-009
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   14100000000.000000      ,   6.6292764590982421E-009
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   14240000000.000000      ,   9.2768535229200090E-009
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   14380000000.000000      ,   1.2920248743609016E-008
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   14520000000.000000      ,   1.7948224566676184E-008
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   14660000000.000000      ,   2.4856387351852760E-008
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   14800000000.000000      ,   3.4226819641196673E-008
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   14940000000.000000      ,   4.7053428121545101E-008
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   15080000000.000000      ,   6.4385078356851363E-008
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   15220000000.000000      ,   8.7892631009698477E-008
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   15360000000.000000      ,   1.1949168495919352E-007
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   15500000000.000000      ,   1.6207137072434577E-007
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   15640000000.000000      ,   2.1888869376087291E-007
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   15780000000.000000      ,   2.9518793743950292E-007
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   15920000000.000000      ,   3.9610543162870847E-007
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   16060000000.000000      ,   5.3037281555379692E-007
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   16200000000.000000      ,   7.0868324925222830E-007
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   16340000000.000000      ,   9.4278844954990207E-007
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   16480000000.000000      ,   1.2512610684006129E-006
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   16620000000.000000      ,   1.6574586253694109E-006
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   16760000000.000000      ,   2.1887818121924681E-006
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   16900000000.000000      ,   2.8805088884196644E-006
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   17040000000.000000      ,   3.7816329545302480E-006
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   17180000000.000000      ,   4.9527325945873795E-006
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   17320000000.000000      ,   6.4711278121549675E-006
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   17460000000.000000      ,   8.4354002227608261E-006
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   17600000000.000000      ,   1.0971809551642831E-005
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   17740000000.000000      ,   1.4238017983039537E-005
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   17880000000.000000      ,   1.8419824267976611E-005
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   18020000000.000000      ,   2.3776132141836153E-005
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   18160000000.000000      ,   3.0621908979578548E-005
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   18300000000.000000      ,   3.9352805086468980E-005
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   18440000000.000000      ,   5.0431948228415091E-005
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   18580000000.000000      ,   6.4484559288136462E-005
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   18720000000.000000      ,   8.2299750535542033E-005
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   18860000000.000000      ,   1.0483237764027361E-004
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   19000000000.000000      ,   1.3327697824605544E-004
