Distance(fm),Vcoul,Sao Paulo,M3Y,RMF-L1
  0.10000000000000001      ,   18.000105534216793      ,  -198.06269420595348      ,  -196.93368707757355      ,  -295.41364895892980     
  0.20000000000000001      ,   17.990451106397874      ,  -196.86747667884106      ,  -195.90709320401479      ,  -289.11338240576958     
  0.30000000000000004      ,   17.974360393366332      ,  -194.89359633897334      ,  -194.25309856350003      ,  -313.14115259440473     
  0.40000000000000002      ,   17.951833395122186      ,  -192.16821338303359      ,  -191.87759735479813      ,  -314.32449546489795     
  0.50000000000000000      ,   17.922870111665421      ,  -188.72707962230686      ,  -188.86183754688491      ,  -303.32872987833537     
  0.59999999999999998      ,   17.887470542996045      ,  -184.61314264801092      ,  -185.12130949338427      ,  -296.38880065000717     
  0.69999999999999996      ,   17.845634689114050      ,  -179.87577526421495      ,  -180.85595405675224      ,  -293.31403630512546     
  0.79999999999999993      ,   17.797362550019443      ,  -174.56947499821524      ,  -176.00145395842455      ,  -284.96056405710965     
  0.89999999999999991      ,   17.742654125712221      ,  -168.75212255138274      ,  -170.50909516876484      ,  -274.57369797132276     
  0.99999999999999989      ,   17.681509416192387      ,  -162.48366220798820      ,  -164.54566328142735      ,  -264.52128769094520     
   1.0999999999999999      ,   17.613928421459935      ,  -155.82529571003408      ,  -158.17266589198871      ,  -255.71695207518485     
   1.2000000000000000      ,   17.539911141514875      ,  -148.83865073894140      ,  -151.43057165380688      ,  -245.44133408387168     
   1.3000000000000000      ,   17.459457576357195      ,  -141.58483914738446      ,  -144.39606762239026      ,  -236.83102996921195     
   1.4000000000000001      ,   17.372567725986901      ,  -134.12374714670347      ,  -137.07282493113277      ,  -224.45851709889533     
   1.5000000000000002      ,   17.279241590403995      ,  -126.51358935710628      ,  -129.55532101318596      ,  -210.37652221295176     
   1.6000000000000003      ,   17.179479169608474      ,  -118.81048161148678      ,  -121.92528676143812      ,  -199.46725766496687     
   1.7000000000000004      ,   17.073280463600337      ,  -111.06802248087543      ,  -114.21649159669614      ,  -186.57074800362500     
   1.8000000000000005      ,   16.960645472379586      ,  -103.33702555076609      ,  -106.48276276307573      ,  -171.94728944099577     
   1.9000000000000006      ,   16.841574195946226      ,  -95.665333188416980      ,  -98.797306378940760      ,  -162.22389357899112     
   2.0000000000000004      ,   16.716066634300244      ,  -88.097618052689057      ,  -91.185703004337071      ,  -147.63523700171362     
   2.1000000000000005      ,   16.584122787441654      ,  -80.675215879729450      ,  -83.697541020667458      ,  -137.56319237856113     
   2.2000000000000006      ,   16.445742655370445      ,  -73.436012011110847      ,  -76.390669169648532      ,  -124.34732758585992     
   2.3000000000000007      ,   16.300926238086621      ,  -66.414325996625905      ,  -69.314177949811850      ,  -113.78397740470109     
   2.4000000000000008      ,   16.149673535590185      ,  -59.640822802439814      ,  -62.458397536575944      ,  -102.28763789986210     
   2.5000000000000009      ,   15.991984547881138      ,  -53.142521904222086      ,  -55.872478991911031      ,  -92.562265715739187     
   2.6000000000000010      ,   15.827859274959472      ,  -46.942871962620984      ,  -49.592215175845546      ,  -83.092523192233557     
   2.7000000000000011      ,   15.657297716825195      ,  -41.061805092784795      ,  -43.619996090261111      ,  -72.912646676271635     
   2.8000000000000012      ,   15.480299873478302      ,  -35.515735860899326      ,  -37.965151946628552      ,  -65.754559638092928     
   2.9000000000000012      ,   15.296865744918794      ,  -30.317502694362812      ,  -32.660288601542732      ,  -57.959995683776000     
   3.0000000000000013      ,   15.106995331146672      ,  -25.476297596583315      ,  -27.726749200213540      ,  -50.078723533828089     
   3.1000000000000014      ,   14.910688632161939      ,  -20.997620625928580      ,  -23.154375484004053      ,  -42.244352618384539     
   3.2000000000000015      ,   14.707945647964587      ,  -16.883305163896686      ,  -18.943211541604889      ,  -34.908022261623600     
   3.3000000000000016      ,   14.498766378554620      ,  -13.131631847113514      ,  -15.090711345821720      ,  -28.650155072650300     
