  4.86558E+00,  4.10550E+02,  6.28963E+04,  7.11577E+06,  4.23712E+08,  1.22810E+10,  1.82490E+11,  1.53512E+12,  8.12155E+12,  2.96997E+13,  8.12247E+13,  1.76980E+14,  3.22929E+14,  5.13013E+14,  7.31320E+14,  9.57696E+14,  1.17328E+15,  1.36395E+15,  1.52135E+15,  1.64236E+15,  1.72779E+15,  1.78090E+15,  1.80624E+15,  1.80874E+15,  1.79317E+15,  1.76381E+15,  1.72434E+15,  1.67782E+15,  1.62668E+15,  1.57286E+15,  1.51784E+15,  1.46272E+15,  1.40834E+15,  1.35528E+15,  1.30394E+15,  1.25459E+15,  1.20737E+15,  1.16238E+15,  1.11963E+15,  1.07910E+15,  1.04073E+15,  1.00446E+15,  9.70186E+14,  9.37826E+14,  9.07278E+14,  8.78444E+14,  8.51223E+14,  8.25521E+14,  8.01244E+14,  7.78305E+14,  7.56618E+14,  7.36105E+14,  7.16691E+14,  6.98305E+14,  6.80882E+14,  6.64360E+14,  6.48683E+14,  6.33796E+14,  6.19650E+14,  6.06199E+14,  5.93400E+14,  5.81212E+14,  5.69599E+14,  5.58526E+14,  5.47960E+14,  5.37872E+14,  5.28233E+14,  5.19018E+14,  5.10202E+14,  5.01763E+14,  4.93680E+14,  4.85932E+14,  4.78502E+14,  4.71373E+14,  4.64527E+14,  4.57951E+14,  4.51630E+14,  4.45551E+14,  4.39702E+14,  4.34070E+14,  4.28646E+14,  4.23419E+14,  4.18379E+14,  4.13518E+14,  4.08826E+14,  4.04296E+14,  3.99921E+14,  3.95692E+14,  3.91605E+14,  3.87651E+14,  3.83825E+14,  3.80122E+14,  3.76537E+14,  3.73063E+14,  3.69697E+14,  3.66434E+14,  3.63269E+14,  3.60199E+14,  3.57220E+14,  3.54327E+14,  3.51518E+14
  2.21735E+00,  7.08187E+01,  6.82398E+03,  6.14091E+05,  3.46981E+07,  1.06585E+09,  1.77926E+10,  1.72243E+11,  1.05288E+12,  4.41893E+12,  1.37079E+13,  3.34226E+13,  6.73214E+13,  1.16565E+14,  1.79034E+14,  2.50046E+14,  3.23817E+14,  3.94877E+14,  4.58970E+14,  5.13395E+14,  5.56910E+14,  5.89432E+14,  6.11666E+14,  6.24777E+14,  6.30134E+14,  6.29128E+14,  6.23068E+14,  6.13119E+14,  6.00281E+14,  5.85387E+14,  5.69113E+14,  5.52002E+14,  5.34475E+14,  5.16858E+14,  4.99396E+14,  4.82269E+14,  4.65608E+14,  4.49499E+14,  4.34003E+14,  4.19151E+14,  4.04961E+14,  3.91432E+14,  3.78558E+14,  3.66323E+14,  3.54706E+14,  3.43684E+14,  3.33231E+14,  3.23320E+14,  3.13924E+14,  3.05016E+14,  2.96568E+14,  2.88555E+14,  2.80953E+14,  2.73737E+14,  2.66885E+14,  2.60375E+14,  2.54187E+14,  2.48302E+14,  2.42702E+14,  2.37370E+14,  2.32290E+14,  2.27448E+14,  2.22830E+14,  2.18422E+14,  2.14213E+14,  2.10190E+14,  2.06345E+14,  2.02666E+14,  1.99145E+14,  1.95772E+14,  1.92539E+14,  1.89440E+14,  1.86466E+14,  1.83612E+14,  1.80871E+14,  1.78236E+14,  1.75703E+14,  1.73266E+14,  1.70921E+14,  1.68663E+14,  1.66488E+14,  1.64391E+14,  1.62369E+14,  1.60418E+14,  1.58535E+14,  1.56717E+14,  1.54961E+14,  1.53264E+14,  1.51623E+14,  1.50035E+14,  1.48499E+14,  1.47013E+14,  1.45573E+14,  1.44178E+14,  1.42827E+14,  1.41516E+14,  1.40246E+14,  1.39013E+14,  1.37817E+14,  1.36655E+14,  1.35527E+14
  1.52651E+00,  1.96556E+01,  1.21758E+03,  8.60287E+04,  4.42935E+06,  1.37431E+08,  2.46250E+09,  2.63754E+10,  1.80355E+11,  8.46492E+11,  2.91797E+12,  7.83387E+12,  1.72002E+13,  3.21406E+13,  5.27788E+13,  7.81433E+13,  1.06471E+14,  1.35696E+14,  1.63885E+14,  1.89525E+14,  2.11624E+14,  2.29689E+14,  2.43630E+14,  2.53646E+14,  2.60113E+14,  2.63498E+14,  2.64293E+14,  2.62977E+14,  2.59986E+14,  2.55703E+14,  2.50457E+14,  2.44522E+14,  2.38121E+14,  2.31435E+14,  2.24605E+14,  2.17744E+14,  2.10935E+14,  2.04243E+14,  1.97714E+14,  1.91381E+14,  1.85267E+14,  1.79384E+14,  1.73742E+14,  1.68342E+14,  1.63182E+14,  1.58260E+14,  1.53568E+14,  1.49099E+14,  1.44846E+14,  1.40799E+14,  1.36949E+14,  1.33286E+14,  1.29801E+14,  1.26485E+14,  1.23329E+14,  1.20325E+14,  1.17464E+14,  1.14739E+14,  1.12141E+14,  1.09664E+14,  1.07302E+14,  1.05047E+14,  1.02894E+14,  1.00837E+14,  9.88706E+13,  9.69903E+13,  9.51911E+13,  9.34686E+13,  9.18187E+13,  9.02375E+13,  8.87213E+13,  8.72667E+13,  8.58704E+13,  8.45296E+13,  8.32412E+13,  8.20026E+13,  8.08114E+13,  7.96651E+13,  7.85616E+13,  7.74987E+13,  7.64744E+13,  7.54869E+13,  7.45345E+13,  7.36155E+13,  7.27284E+13,  7.18716E+13,  7.10438E+13,  7.02437E+13,  6.94701E+13,  6.87217E+13,  6.79974E+13,  6.72963E+13,  6.66174E+13,  6.59596E+13,  6.53220E+13,  6.47040E+13,  6.41046E+13,  6.35230E+13,  6.29587E+13,  6.24108E+13,  6.18787E+13
  1.27783E+00,  7.73960E+00,  3.08968E+02,  1.71632E+04,  7.87596E+05,  2.39160E+07,  4.45322E+08,  5.12532E+09,  3.82431E+10,  1.96671E+11,  7.41048E+11,  2.16200E+12,  5.12059E+12,  1.02411E+13,  1.78626E+13,  2.78915E+13,  3.98192E+13,  5.28674E+13,  6.61754E+13,  7.89599E+13,  9.06106E+13,  1.00725E+14,  1.09098E+14,  1.15683E+14,  1.20554E+14,  1.23856E+14,  1.25778E+14,  1.26521E+14,  1.26285E+14,  1.25257E+14,  1.23602E+14,  1.21466E+14,  1.18972E+14,  1.16222E+14,  1.13301E+14,  1.10277E+14,  1.07204E+14,  1.04124E+14,  1.01070E+14,  9.80678E+13,  9.51352E+13,  9.22856E+13,  8.95282E+13,  8.68689E+13,  8.43110E+13,  8.18559E+13,  7.95034E+13,  7.72523E+13,  7.51002E+13,  7.30445E+13,  7.10820E+13,  6.92090E+13,  6.74221E+13,  6.57173E+13,  6.40910E+13,  6.25395E+13,  6.10590E+13,  5.96460E+13,  5.82971E+13,  5.70090E+13,  5.57785E+13,  5.46026E+13,  5.34784E+13,  5.24033E+13,  5.13746E+13,  5.03898E+13,  4.94468E+13,  4.85432E+13,  4.76771E+13,  4.68464E+13,  4.60494E+13,  4.52844E+13,  4.45496E+13,  4.38437E+13,  4.31650E+13,  4.25124E+13,  4.18844E+13,  4.12799E+13,  4.06977E+13,  4.01368E+13,  3.95961E+13,  3.90747E+13,  3.85717E+13,  3.80862E+13,  3.76175E+13,  3.71647E+13,  3.67271E+13,  3.63042E+13,  3.58951E+13,  3.54993E+13,  3.51163E+13,  3.47455E+13,  3.43863E+13,  3.40383E+13,  3.37010E+13,  3.33739E+13,  3.30567E+13,  3.27490E+13,  3.24503E+13,  3.21603E+13,  3.18787E+13
  1.16714E+00,  4.00614E+00,  1.01723E+02,  4.47154E+03,  1.80835E+05,  5.26259E+06,  9.94706E+07,  1.20315E+09,  9.60723E+09,  5.32549E+10,  2.16404E+11,  6.78647E+11,  1.71868E+12,  3.65319E+12,  6.72997E+12,  1.10326E+13,  1.64441E+13,  2.26786E+13,  2.93536E+13,  3.60707E+13,  4.24780E+13,  4.83058E+13,  5.33780E+13,  5.76049E+13,  6.09675E+13,  6.34986E+13,  6.52649E+13,  6.63521E+13,  6.68534E+13,  6.68618E+13,  6.64652E+13,  6.57429E+13,  6.47653E+13,  6.35927E+13,  6.22761E+13,  6.08581E+13,  5.93734E+13,  5.78504E+13,  5.63117E+13,  5.47750E+13,  5.32543E+13,  5.17600E+13,  5.03002E+13,  4.88805E+13,  4.75049E+13,  4.61761E+13,  4.48955E+13,  4.36639E+13,  4.24811E+13,  4.13466E+13,  4.02595E+13,  3.92185E+13,  3.82224E+13,  3.72694E+13,  3.63581E+13,  3.54866E+13,  3.46533E+13,  3.38565E+13,  3.30944E+13,  3.23655E+13,  3.16682E+13,  3.10010E+13,  3.03622E+13,  2.97507E+13,  2.91648E+13,  2.86035E+13,  2.80655E+13,  2.75495E+13,  2.70545E+13,  2.65795E+13,  2.61234E+13,  2.56853E+13,  2.52643E+13,  2.48596E+13,  2.44703E+13,  2.40958E+13,  2.37352E+13,  2.33880E+13,  2.30536E+13,  2.27312E+13,  2.24203E+13,  2.21205E+13,  2.18311E+13,  2.15517E+13,  2.12819E+13,  2.10213E+13,  2.07693E+13,  2.05257E+13,  2.02901E+13,  2.00621E+13,  1.98414E+13,  1.96277E+13,  1.94206E+13,  1.92200E+13,  1.90256E+13,  1.88370E+13,  1.86541E+13,  1.84766E+13,  1.83043E+13,  1.81371E+13,  1.79746E+13
  1.11002E+00,  2.56118E+00,  4.09397E+01,  1.43276E+03,  5.08233E+04,  1.39788E+06,  2.63629E+07,  3.29417E+08,  2.77158E+09,  1.63403E+10,  7.08127E+10,  2.36519E+11,  6.35700E+11,  1.42738E+12,  2.76371E+12,  4.73777E+12,  7.34913E+12,  1.05011E+13,  1.40254E+13,  1.77201E+13,  2.13858E+13,  2.48524E+13,  2.79924E+13,  3.07238E+13,  3.30067E+13,  3.48343E+13,  3.62245E+13,  3.72116E+13,  3.78388E+13,  3.81534E+13,  3.82027E+13,  3.80316E+13,  3.76811E+13,  3.71878E+13,  3.65833E+13,  3.58950E+13,  3.51455E+13,  3.43539E+13,  3.35358E+13,  3.27037E+13,  3.18679E+13,  3.10363E+13,  3.02151E+13,  2.94092E+13,  2.86221E+13,  2.78565E+13,  2.71141E+13,  2.63962E+13,  2.57034E+13,  2.50360E+13,  2.43940E+13,  2.37771E+13,  2.31849E+13,  2.26167E+13,  2.20718E+13,  2.15496E+13,  2.10491E+13,  2.05696E+13,  2.01102E+13,  1.96700E+13,  1.92482E+13,  1.88440E+13,  1.84566E+13,  1.80852E+13,  1.77291E+13,  1.73875E+13,  1.70597E+13,  1.67451E+13,  1.64430E+13,  1.61529E+13,  1.58742E+13,  1.56062E+13,  1.53486E+13,  1.51008E+13,  1.48623E+13,  1.46328E+13,  1.44117E+13,  1.41987E+13,  1.39934E+13,  1.37955E+13,  1.36045E+13,  1.34203E+13,  1.32425E+13,  1.30707E+13,  1.29048E+13,  1.27445E+13,  1.25895E+13,  1.24396E+13,  1.22945E+13,  1.21542E+13,  1.20183E+13,  1.18867E+13,  1.17592E+13,  1.16356E+13,  1.15158E+13,  1.13996E+13,  1.12869E+13,  1.11775E+13,  1.10713E+13,  1.09682E+13,  1.08681E+13
  1.07720E+00,  1.90750E+00,  1.93658E+01,  5.40916E+02,  1.68141E+04,  4.33133E+05,  8.04702E+06,  1.02492E+08,  8.97281E+08,  5.56466E+09,  2.54775E+10,  8.99265E+10,  2.54862E+11,  6.01325E+11,  1.21845E+12,  2.17663E+12,  3.50379E+12,  5.17519E+12,  7.11913E+12,  9.23361E+12,  1.14063E+13,  1.35319E+13,  1.55232E+13,  1.73169E+13,  1.88736E+13,  2.01750E+13,  2.12198E+13,  2.20191E+13,  2.25922E+13,  2.29629E+13,  2.31568E+13,  2.31999E+13,  2.31166E+13,  2.29295E+13,  2.26589E+13,  2.23224E+13,  2.19353E+13,  2.15104E+13,  2.10588E+13,  2.05894E+13,  2.01095E+13,  1.96251E+13,  1.91412E+13,  1.86613E+13,  1.81886E+13,  1.77253E+13,  1.72732E+13,  1.68333E+13,  1.64067E+13,  1.59938E+13,  1.55950E+13,  1.52103E+13,  1.48398E+13,  1.44832E+13,  1.41404E+13,  1.38110E+13,  1.34945E+13,  1.31907E+13,  1.28991E+13,  1.26191E+13,  1.23505E+13,  1.20926E+13,  1.18452E+13,  1.16076E+13,  1.13795E+13,  1.11605E+13,  1.09502E+13,  1.07481E+13,  1.05539E+13,  1.03673E+13,  1.01878E+13,  1.00151E+13,  9.84903E+12,  9.68914E+12,  9.53520E+12,  9.38693E+12,  9.24407E+12,  9.10636E+12,  8.97359E+12,  8.84551E+12,  8.72193E+12,  8.60264E+12,  8.48745E+12,  8.37617E+12,  8.26865E+12,  8.16471E+12,  8.06419E+12,  7.96696E+12,  7.87287E+12,  7.78179E+12,  7.69360E+12,  7.60816E+12,  7.52538E+12,  7.44513E+12,  7.36733E+12,  7.29186E+12,  7.21864E+12,  7.14758E+12,  7.07859E+12,  7.01159E+12,  6.94650E+12
  1.05676E+00,  1.57452E+00,  1.04848E+01,  2.33191E+02,  6.35873E+03,  1.52531E+05,  2.76531E+06,  3.55224E+07,  3.20298E+08,  2.07034E+09,  9.93500E+09,  3.68086E+10,  1.09386E+11,  2.69942E+11,  5.70237E+11,  1.05822E+12,  1.76324E+12,  2.68647E+12,  3.79980E+12,  5.05236E+12,  6.38096E+12,  7.72081E+12,  9.01383E+12,  1.02137E+13,  1.12876E+13,  1.22162E+13,  1.29913E+13,  1.36138E+13,  1.40911E+13,  1.44348E+13,  1.46588E+13,  1.47781E+13,  1.48076E+13,  1.47614E+13,  1.46527E+13,  1.44931E+13,  1.42931E+13,  1.40617E+13,  1.38064E+13,  1.35337E+13,  1.32491E+13,  1.29571E+13,  1.26614E+13,  1.23648E+13,  1.20698E+13,  1.17783E+13,  1.14918E+13,  1.12113E+13,  1.09377E+13,  1.06717E+13,  1.04136E+13,  1.01638E+13,  9.92220E+12,  9.68902E+12,  9.46416E+12,  9.24751E+12,  9.03893E+12,  8.83822E+12,  8.64517E+12,  8.45954E+12,  8.28108E+12,  8.10954E+12,  7.94465E+12,  7.78617E+12,  7.63383E+12,  7.48739E+12,  7.34658E+12,  7.21117E+12,  7.08094E+12,  6.95564E+12,  6.83506E+12,  6.71900E+12,  6.60726E+12,  6.49963E+12,  6.39595E+12,  6.29602E+12,  6.19969E+12,  6.10679E+12,  6.01718E+12,  5.93071E+12,  5.84723E+12,  5.76662E+12,  5.68876E+12,  5.61352E+12,  5.54079E+12,  5.47046E+12,  5.40244E+12,  5.33662E+12,  5.27291E+12,  5.21122E+12,  5.15148E+12,  5.09360E+12,  5.03750E+12,  4.98311E+12,  4.93036E+12,  4.87920E+12,  4.82955E+12,  4.78135E+12,  4.73456E+12,  4.68911E+12,  4.64496E+12
  1.04323E+00,  1.38848E+00,  6.37264E+00,  1.12155E+02,  2.68758E+03,  5.98277E+04,  1.05098E+06,  1.35023E+07,  1.24341E+08,  8.31214E+08,  4.15224E+09,  1.60538E+10,  4.97795E+10,  1.27964E+11,  2.80859E+11,  5.39927E+11,  9.29080E+11,  1.45741E+12,  2.11622E+12,  2.88088E+12,  3.71600E+12,  4.58185E+12,  5.44002E+12,  6.25751E+12,  7.00891E+12,  7.67694E+12,  8.25189E+12,  8.73043E+12,  9.11417E+12,  9.40821E+12,  9.61994E+12,  9.75798E+12,  9.83145E+12,  9.84936E+12,  9.82030E+12,  9.75217E+12,  9.65212E+12,  9.52644E+12,  9.38062E+12,  9.21938E+12,  9.04674E+12,  8.86606E+12,  8.68016E+12,  8.49136E+12,  8.30156E+12,  8.11230E+12,  7.92481E+12,  7.74006E+12,  7.55880E+12,  7.38161E+12,  7.20892E+12,  7.04102E+12,  6.87812E+12,  6.72034E+12,  6.56774E+12,  6.42031E+12,  6.27801E+12,  6.14077E+12,  6.00850E+12,  5.88106E+12,  5.75834E+12,  5.64019E+12,  5.52645E+12,  5.41698E+12,  5.31161E+12,  5.21021E+12,  5.11260E+12,  5.01864E+12,  4.92818E+12,  4.84108E+12,  4.75720E+12,  4.67639E+12,  4.59853E+12,  4.52349E+12,  4.45116E+12,  4.38140E+12,  4.31412E+12,  4.24921E+12,  4.18656E+12,  4.12608E+12,  4.06767E+12,  4.01124E+12,  3.95672E+12,  3.90402E+12,  3.85305E+12,  3.80376E+12,  3.75607E+12,  3.70991E+12,  3.66522E+12,  3.62194E+12,  3.58001E+12,  3.53937E+12,  3.49999E+12,  3.46179E+12,  3.42475E+12,  3.38881E+12,  3.35392E+12,  3.32006E+12,  3.28717E+12,  3.25523E+12,  3.22419E+12
  1.03382E+00,  1.27661E+00,  4.27905E+00,  5.91393E+01,  1.24736E+03,  2.57215E+04,  4.35547E+05,  5.55881E+06,  5.19179E+07,  3.56590E+08,  1.84344E+09,  7.39994E+09,  2.38385E+10,  6.36003E+10,  1.44596E+11,  2.87232E+11,  5.09361E+11,  8.21223E+11,  1.22242E+12,  1.70177E+12,  2.23969E+12,  2.81183E+12,  3.39290E+12,  3.95970E+12,  4.49306E+12,  4.97876E+12,  5.40756E+12,  5.77468E+12,  6.07904E+12,  6.32233E+12,  6.50820E+12,  6.64156E+12,  6.72795E+12,  6.77315E+12,  6.78287E+12,  6.76248E+12,  6.71696E+12,  6.65079E+12,  6.56795E+12,  6.47192E+12,  6.36568E+12,  6.25181E+12,  6.13247E+12,  6.00947E+12,  5.88432E+12,  5.75828E+12,  5.63235E+12,  5.50735E+12,  5.38393E+12,  5.26262E+12,  5.14380E+12,  5.02779E+12,  4.91478E+12,  4.80495E+12,  4.69839E+12,  4.59514E+12,  4.49523E+12,  4.39865E+12,  4.30536E+12,  4.21531E+12,  4.12843E+12,  4.04464E+12,  3.96386E+12,  3.88600E+12,  3.81097E+12,  3.73867E+12,  3.66899E+12,  3.60186E+12,  3.53716E+12,  3.47480E+12,  3.41470E+12,  3.35675E+12,  3.30088E+12,  3.24700E+12,  3.19503E+12,  3.14488E+12,  3.09648E+12,  3.04976E+12,  3.00465E+12,  2.96107E+12,  2.91898E+12,  2.87829E+12,  2.83896E+12,  2.80093E+12,  2.76415E+12,  2.72856E+12,  2.69411E+12,  2.66076E+12,  2.62847E+12,  2.59718E+12,  2.56687E+12,  2.53748E+12,  2.50899E+12,  2.48136E+12,  2.45456E+12,  2.42855E+12,  2.40330E+12,  2.37878E+12,  2.35497E+12,  2.33184E+12,  2.30936E+12
  1.02702E+00,  1.20522E+00,  3.12704E+00,  3.37431E+01,  6.26902E+02,  1.19658E+04,  1.94568E+05,  2.45370E+06,  2.31078E+07,  1.62154E+08,  8.63107E+08,  3.58115E+09,  1.19394E+10,  3.29528E+10,  7.73925E+10,  1.58494E+11,  2.89101E+11,  4.78305E+11,  7.28906E+11,  1.03656E+12,  1.39066E+12,  1.77637E+12,  2.17704E+12,  2.57644E+12,  2.96035E+12,  3.31748E+12,  3.63978E+12,  3.92230E+12,  4.16280E+12,  4.36122E+12,  4.51910E+12,  4.63911E+12,  4.72460E+12,  4.77927E+12,  4.80691E+12,  4.81124E+12,  4.79575E+12,  4.76366E+12,  4.71790E+12,  4.66103E+12,  4.59532E+12,  4.52273E+12,  4.44494E+12,  4.36338E+12,  4.27925E+12,  4.19356E+12,  4.10715E+12,  4.02068E+12,  3.93473E+12,  3.84974E+12,  3.76606E+12,  3.68398E+12,  3.60370E+12,  3.52539E+12,  3.44916E+12,  3.37508E+12,  3.30321E+12,  3.23355E+12,  3.16612E+12,  3.10090E+12,  3.03786E+12,  2.97696E+12,  2.91816E+12,  2.86139E+12,  2.80661E+12,  2.75376E+12,  2.70278E+12,  2.65359E+12,  2.60615E+12,  2.56038E+12,  2.51622E+12,  2.47362E+12,  2.43251E+12,  2.39284E+12,  2.35455E+12,  2.31757E+12,  2.28187E+12,  2.24739E+12,  2.21408E+12,  2.18189E+12,  2.15077E+12,  2.12069E+12,  2.09160E+12,  2.06345E+12,  2.03622E+12,  2.00987E+12,  1.98435E+12,  1.95964E+12,  1.93571E+12,  1.91252E+12,  1.89004E+12,  1.86824E+12,  1.84711E+12,  1.82661E+12,  1.80671E+12,  1.78740E+12,  1.76866E+12,  1.75045E+12,  1.73277E+12,  1.71559E+12,  1.69889E+12
