 nuclei,nninteraction,density,pycno_rate
 C-C,M3Y-bcc-relax       ,   30940000000.000000      ,   6.3963069966682026E+026
 C-C,M3Y-bcc-relax       ,   31250000000.000000      ,   7.6850497929104487E+026
 C-C,M3Y-bcc-relax       ,   31560000000.000000      ,   9.2151444853198926E+026
 C-C,M3Y-bcc-relax       ,   31870000000.000000      ,   1.1012612267938231E+027
 C-C,M3Y-bcc-relax       ,   32180000000.000000      ,   1.3145207048176310E+027
 C-C,M3Y-bcc-relax       ,   32490000000.000000      ,   1.5664510918213065E+027
 C-C,M3Y-bcc-relax       ,   32800000000.000000      ,   1.8635264287966119E+027
 C-C,M3Y-bcc-relax       ,   33110000000.000000      ,   2.2132961835292366E+027
 C-C,M3Y-bcc-relax       ,   33420000000.000000      ,   2.6210427159770264E+027
 C-C,M3Y-bcc-relax       ,   33730000000.000000      ,   3.0991540053995635E+027
 C-C,M3Y-bcc-relax       ,   34040000000.000000      ,   3.6604375362422952E+027
 C-C,M3Y-bcc-relax       ,   34350000000.000000      ,   4.3177196048974095E+027
 C-C,M3Y-bcc-relax       ,   34660000000.000000      ,   5.0745721380769539E+027
 C-C,M3Y-bcc-relax       ,   34970000000.000000      ,   5.9629345061265943E+027
 C-C,M3Y-bcc-relax       ,   35280000000.000000      ,   6.9997953154181066E+027
 C-C,M3Y-bcc-relax       ,   35590000000.000000      ,   8.1856945749895595E+027
 C-C,M3Y-bcc-relax       ,   35900000000.000000      ,   9.5757690952835751E+027
 C-C,M3Y-bcc-relax       ,   36210000000.000000      ,   1.1170918938284149E+028
 C-C,M3Y-bcc-relax       ,   36520000000.000000      ,   1.3023077122929663E+028
 C-C,M3Y-bcc-relax       ,   36830000000.000000      ,   1.5156327974343292E+028
 C-C,M3Y-bcc-relax       ,   37140000000.000000      ,   1.7609866867499522E+028
 C-C,M3Y-bcc-relax       ,   37450000000.000000      ,   2.0442581666713015E+028
 C-C,M3Y-bcc-relax       ,   37760000000.000000      ,   2.3679106269102696E+028
 C-C,M3Y-bcc-relax       ,   38070000000.000000      ,   2.7406438443436030E+028
 C-C,M3Y-bcc-relax       ,   38380000000.000000      ,   3.1668491646312917E+028
 C-C,M3Y-bcc-relax       ,   38690000000.000000      ,   3.6539835516942203E+028
 C-C,M3Y-bcc-relax       ,   39000000000.000000      ,   4.2135546324627585E+028
