 r,TotEnergy
   0.0000000000000000      ,  -198.92156519225000     
   1.0000000000000000      ,  -162.91323682419704     
   2.0000000000000000      ,  -88.466705416014491     
   3.0000000000000000      ,  -25.793824995935456     
   4.0000000000000000      ,   3.4791609870182563     
   5.0000000000000000      ,   8.9530237064935871     
   6.0000000000000000      ,   8.2588478418375058     
   7.0000000000000000      ,   7.1129087358709588     
   8.0000000000000000      ,   6.1933319706509318     
   9.0000000000000000      ,   5.4738305870924160     
   10.000000000000000      ,   4.8979692355456006     
   11.000000000000000      ,   4.4267956255530398     
   12.000000000000000      ,   4.0341502179320559     
   13.000000000000000      ,   3.7019117563935953     
   14.000000000000000      ,   3.4171359322177710     
   15.000000000000000      ,   3.1703302179320567     
   16.000000000000000      ,   2.9543752179320566     
   17.000000000000000      ,   2.7638266885202918     
   18.000000000000000      ,   2.5944502179320565     
   19.000000000000000      ,   2.4429028495110039     
   20.000000000000000      ,   2.3065102179320567     
   21.000000000000000      ,   2.1831073607891995     
   22.000000000000000      ,   2.0709229452047837     
   23.000000000000000      ,   1.9684936961929260     
