r_fm,Vcoulomb_MeV,Vscreen_MeV,Vcoulomb_screened_MeV,Vnuclear_MeV,Vtotal_MeV
  4.60400000E+00,  1.12574283E+01,  8.54915254E-01,  1.04025131E+01, -1.85510795E-03,  1.04006580E+01
  4.62200000E+00,  1.12135872E+01,  8.50338983E-01,  1.03632482E+01, -1.76668256E-03,  1.03614815E+01
  4.64000000E+00,  1.11700862E+01,  8.45762712E-01,  1.03243235E+01, -1.68249475E-03,  1.03226410E+01
  4.65800000E+00,  1.11269214E+01,  8.41186441E-01,  1.02857350E+01, -1.60234026E-03,  1.02841326E+01
  4.67600000E+00,  1.10840890E+01,  8.36610169E-01,  1.02474788E+01, -1.52602471E-03,  1.02459528E+01
  4.69400000E+00,  1.10415850E+01,  8.32033898E-01,  1.02095511E+01, -1.45336318E-03,  1.02080977E+01
  4.71200000E+00,  1.09994058E+01,  8.27457627E-01,  1.01719481E+01, -1.38417970E-03,  1.01705640E+01
  4.73000000E+00,  1.09575476E+01,  8.22881356E-01,  1.01346662E+01, -1.31830682E-03,  1.01333479E+01
  4.74800000E+00,  1.09160067E+01,  8.18305085E-01,  1.00977017E+01, -1.25558523E-03,  1.00964461E+01
  4.76600000E+00,  1.08747797E+01,  8.13728814E-01,  1.00610509E+01, -1.19586329E-03,  1.00598550E+01
  4.78400000E+00,  1.08338629E+01,  8.09152542E-01,  1.00247103E+01, -1.13899674E-03,  1.00235713E+01
  4.80200000E+00,  1.07932528E+01,  8.04576271E-01,  9.98867654E+00, -1.08484829E-03,  9.98759169E+00
  4.82000000E+00,  1.07529461E+01,  8.00000000E-01,  9.95294606E+00, -1.03328728E-03,  9.95191277E+00
  4.83800000E+00,  1.07129392E+01,  7.95423729E-01,  9.91751550E+00, -9.84189384E-04,  9.91653131E+00
  4.85600000E+00,  1.06732290E+01,  7.90847458E-01,  9.88238154E+00, -9.37436276E-04,  9.88144410E+00
  4.87400000E+00,  1.06338121E+01,  7.86271186E-01,  9.84754088E+00, -8.92915354E-04,  9.84664796E+00
  4.89200000E+00,  1.05946852E+01,  7.81694915E-01,  9.81299029E+00, -8.50519456E-04,  9.81213977E+00
  4.91000000E+00,  1.05558452E+01,  7.77118644E-01,  9.77872657E+00, -8.10146594E-04,  9.77791642E+00
  4.92800000E+00,  1.05172890E+01,  7.72542373E-01,  9.74474659E+00, -7.71699704E-04,  9.74397489E+00
  4.94600000E+00,  1.04790133E+01,  7.67966102E-01,  9.71104724E+00, -7.35086408E-04,  9.71031216E+00
  4.96400000E+00,  1.04410153E+01,  7.63389831E-01,  9.67762548E+00, -7.00218786E-04,  9.67692526E+00
  4.98200000E+00,  1.04032919E+01,  7.58813559E-01,  9.64447829E+00, -6.67013155E-04,  9.64381128E+00
  5.00000000E+00,  1.03658400E+01,  7.54237288E-01,  9.61160271E+00, -6.35389871E-04,  9.61096732E+00
