r_fm,Vcoulomb_MeV,Vscreen_MeV,Vcoulomb_screened_MeV,Vnuclear_MeV,Vtotal_MeV
  1.43600000E+00,  1.73397118E+01,  1.66033898E+00,  1.56793728E+01, -1.19462852E+01,  3.73308758E+00
  1.45400000E+00,  1.73229710E+01,  1.65576271E+00,  1.56672083E+01, -1.13913842E+01,  4.27582411E+00
  1.47200000E+00,  1.73060217E+01,  1.65118644E+00,  1.56548352E+01, -1.08600490E+01,  4.79478628E+00
  1.49000000E+00,  1.72888638E+01,  1.64661017E+00,  1.56422537E+01, -1.03515192E+01,  5.29073450E+00
  1.50800000E+00,  1.72714975E+01,  1.64203390E+00,  1.56294636E+01, -9.86503037E+00,  5.76443318E+00
  1.52600000E+00,  1.72539225E+01,  1.63745763E+00,  1.56164649E+01, -9.39981861E+00,  6.21664629E+00
  1.54400000E+00,  1.72361391E+01,  1.63288136E+00,  1.56032577E+01, -8.95512420E+00,  6.64813352E+00
  1.56200000E+00,  1.72181471E+01,  1.62830508E+00,  1.55898420E+01, -8.53019495E+00,  7.05964705E+00
  1.58000000E+00,  1.71999466E+01,  1.62372881E+00,  1.55762177E+01, -8.12428887E+00,  7.45192888E+00
  1.59800000E+00,  1.71815375E+01,  1.61915254E+00,  1.55623850E+01, -7.73667641E+00,  7.82570855E+00
  1.61600000E+00,  1.71629199E+01,  1.61457627E+00,  1.55483436E+01, -7.36664235E+00,  8.18170128E+00
  1.63400000E+00,  1.71440938E+01,  1.61000000E+00,  1.55340938E+01, -7.01348730E+00,  8.52060647E+00
  1.65200000E+00,  1.71250591E+01,  1.60542373E+00,  1.55196354E+01, -6.67652889E+00,  8.84310647E+00
  1.67000000E+00,  1.71058159E+01,  1.60084746E+00,  1.55049684E+01, -6.35510275E+00,  9.14986568E+00
  1.68800000E+00,  1.70863641E+01,  1.59627119E+00,  1.54900930E+01, -6.04856320E+00,  9.44152976E+00
  1.70600000E+00,  1.70667039E+01,  1.59169492E+00,  1.54750090E+01, -5.75628377E+00,  9.71872519E+00
  1.72400000E+00,  1.70468351E+01,  1.58711864E+00,  1.54597164E+01, -5.47765754E+00,  9.98205887E+00
  1.74200000E+00,  1.70267577E+01,  1.58254237E+00,  1.54442153E+01, -5.21209738E+00,  1.02321180E+01
  1.76000000E+00,  1.70064718E+01,  1.57796610E+00,  1.54285057E+01, -4.95903594E+00,  1.04694698E+01
  1.77800000E+00,  1.69859774E+01,  1.57338983E+00,  1.54125876E+01, -4.71792568E+00,  1.06946619E+01
  1.79600000E+00,  1.69652744E+01,  1.56881356E+00,  1.53964609E+01, -4.48823870E+00,  1.09082222E+01
  1.81400000E+00,  1.69443630E+01,  1.56423729E+00,  1.53801257E+01, -4.26946653E+00,  1.11106591E+01
  1.83200000E+00,  1.69232429E+01,  1.55966102E+00,  1.53635819E+01, -4.06111987E+00,  1.13024620E+01
  1.85000000E+00,  1.69019144E+01,  1.55508475E+00,  1.53468296E+01, -3.86272823E+00,  1.14841014E+01
  1.86800000E+00,  1.68803773E+01,  1.55050847E+00,  1.53298688E+01, -3.67383956E+00,  1.16560292E+01
  1.88600000E+00,  1.68586316E+01,  1.54593220E+00,  1.53126994E+01, -3.49401985E+00,  1.18186796E+01
  1.90400000E+00,  1.68366775E+01,  1.54135593E+00,  1.52953215E+01, -3.32285265E+00,  1.19724689E+01
  1.92200000E+00,  1.68145148E+01,  1.53677966E+00,  1.52777351E+01, -3.15993864E+00,  1.21177965E+01
  1.94000000E+00,  1.67921435E+01,  1.53220339E+00,  1.52599401E+01, -3.00489512E+00,  1.22550450E+01
  1.95800000E+00,  1.67695637E+01,  1.52762712E+00,  1.52419366E+01, -2.85735550E+00,  1.23845811E+01
  1.97600000E+00,  1.67467754E+01,  1.52305085E+00,  1.52237246E+01, -2.71696884E+00,  1.25067557E+01
  1.99400000E+00,  1.67237786E+01,  1.51847458E+00,  1.52053040E+01, -2.58339929E+00,  1.26219047E+01
  2.01200000E+00,  1.67005732E+01,  1.51389831E+00,  1.51866749E+01, -2.45632560E+00,  1.27303493E+01
  2.03000000E+00,  1.66771593E+01,  1.50932203E+00,  1.51678373E+01, -2.33544061E+00,  1.28323966E+01
  2.04800000E+00,  1.66535368E+01,  1.50474576E+00,  1.51487911E+01, -2.22045075E+00,  1.29283403E+01
  2.06600000E+00,  1.66297058E+01,  1.50016949E+00,  1.51295364E+01, -2.11107551E+00,  1.30184608E+01
  2.08400000E+00,  1.66056663E+01,  1.49559322E+00,  1.51100731E+01, -2.00704698E+00,  1.31030261E+01
  2.10200000E+00,  1.65814183E+01,  1.49101695E+00,  1.50904013E+01, -1.90810934E+00,  1.31822920E+01
  2.12000000E+00,  1.65569617E+01,  1.48644068E+00,  1.50705210E+01, -1.81401842E+00,  1.32565026E+01
  2.13800000E+00,  1.65322965E+01,  1.48186441E+00,  1.50504321E+01, -1.72454118E+00,  1.33258909E+01
  2.15600000E+00,  1.65074229E+01,  1.47728814E+00,  1.50301347E+01, -1.63945532E+00,  1.33906794E+01
  2.17400000E+00,  1.64823407E+01,  1.47271186E+00,  1.50096288E+01, -1.55854878E+00,  1.34510800E+01
  2.19200000E+00,  1.64570499E+01,  1.46813559E+00,  1.49889143E+01, -1.48161937E+00,  1.35072950E+01
  2.21000000E+00,  1.64315506E+01,  1.46355932E+00,  1.49679913E+01, -1.40847431E+00,  1.35595170E+01
  2.22800000E+00,  1.64058428E+01,  1.45898305E+00,  1.49468598E+01, -1.33892985E+00,  1.36079299E+01
  2.24600000E+00,  1.63799265E+01,  1.45440678E+00,  1.49255197E+01, -1.27281087E+00,  1.36527088E+01
  2.26400000E+00,  1.63538016E+01,  1.44983051E+00,  1.49039711E+01, -1.20995053E+00,  1.36940206E+01
  2.28200000E+00,  1.63274682E+01,  1.44525424E+00,  1.48822140E+01, -1.15018986E+00,  1.37320241E+01
  2.30000000E+00,  1.63009262E+01,  1.44067797E+00,  1.48602483E+01, -1.09337745E+00,  1.37668708E+01
