 nuclei,nninteraction,density,pycno_rate
 C-C,M3Y-bcc-relax       ,   2882800000000.0000      ,   6.8359667702811502E+052
 C-C,M3Y-bcc-relax       ,   2922700000000.0000      ,   7.7527703196663175E+052
 C-C,M3Y-bcc-relax       ,   2962600000000.0000      ,   8.7274960702752253E+052
 C-C,M3Y-bcc-relax       ,   3002500000000.0000      ,   9.8464516232264012E+052
 C-C,M3Y-bcc-relax       ,   3042400000000.0000      ,   1.1066085851689343E+053
 C-C,M3Y-bcc-relax       ,   3082300000000.0000      ,   1.2421083608683847E+053
 C-C,M3Y-bcc-relax       ,   3122200000000.0000      ,   1.3935425126579812E+053
 C-C,M3Y-bcc-relax       ,   3162100000000.0000      ,   1.5566930730912830E+053
 C-C,M3Y-bcc-relax       ,   3202000000000.0000      ,   1.7421869099473853E+053
 C-C,M3Y-bcc-relax       ,   3241900000000.0000      ,   1.9388097983440537E+053
 C-C,M3Y-bcc-relax       ,   3281800000000.0000      ,   2.1617622262685686E+053
 C-C,M3Y-bcc-relax       ,   3321700000000.0000      ,   2.4005102994257964E+053
 C-C,M3Y-bcc-relax       ,   3361600000000.0000      ,   2.6650124434672260E+053
 C-C,M3Y-bcc-relax       ,   3401500000000.0000      ,   2.9557956102211820E+053
 C-C,M3Y-bcc-relax       ,   3441400000000.0000      ,   3.2674152607764650E+053
 C-C,M3Y-bcc-relax       ,   3481300000000.0000      ,   3.6209576240680806E+053
 C-C,M3Y-bcc-relax       ,   3521200000000.0000      ,   3.9864049032922643E+053
 C-C,M3Y-bcc-relax       ,   3561100000000.0000      ,   4.4149562551078324E+053
 C-C,M3Y-bcc-relax       ,   3601000000000.0000      ,   4.8419519613220373E+053
 C-C,M3Y-bcc-relax       ,   3640900000000.0000      ,   5.3598513929595333E+053
 C-C,M3Y-bcc-relax       ,   3680800000000.0000      ,   5.8571497911551339E+053
 C-C,M3Y-bcc-relax       ,   3720700000000.0000      ,   6.4218687843179668E+053
 C-C,M3Y-bcc-relax       ,   3760600000000.0000      ,   7.0587929750425621E+053
 C-C,M3Y-bcc-relax       ,   3800500000000.0000      ,   7.7034337219420482E+053
 C-C,M3Y-bcc-relax       ,   3840400000000.0000      ,   8.4780240157915968E+053
 C-C,M3Y-bcc-relax       ,   3880300000000.0000      ,   9.2167898966252648E+053
 C-C,M3Y-bcc-relax       ,   3920200000000.0000      ,   1.0048522770106865E+054
 C-C,M3Y-bcc-relax       ,   3960100000000.0000      ,   1.0998115362302927E+054
 C-C,M3Y-bcc-relax       ,   4000000000000.0000      ,   1.1935105340791341E+054
