temp,adjust
   26000000.000000000      ,   1.3892330559996466     
   39480000.000000000      ,   3311.2628271459153     
   52960000.000000000      ,   44441746.881395869     
   66440000.000000000      ,   43341568000.225540     
   79920000.000000000      ,   3424389693391.7095     
   93400000.000000000      ,   48841352588308.492     
   106880000.00000000      ,   240082813501487.00     
   120360000.00000000      ,   616928669658014.75     
   133840000.00000000      ,   1067533371097058.1     
   147320000.00000000      ,   1448753240665952.2     
   160800000.00000000      ,   1691260162680482.8     
   174280000.00000000      ,   1797583841841525.8     
   187760000.00000000      ,   1802188642412974.0     
   201240000.00000000      ,   1742816883574354.5     
   214720000.00000000      ,   1649091918000720.0     
   228200000.00000000      ,   1540898193444881.2     
   241680000.00000000      ,   1430291061648617.5     
   255160000.00000000      ,   1323946821307850.2     
   268640000.00000000      ,   1225154448018974.2     
   282120000.00000000      ,   1135196399638971.8     
   295600000.00000000      ,   1054231432971166.4     
   309080000.00000000      ,   981831422809833.00     
   322560000.00000000      ,   917295655940162.38     
   336040000.00000000      ,   859828246454478.75     
   349520000.00000000      ,   808633829166385.88     
   363000000.00000000      ,   762965623451626.12     
   376480000.00000000      ,   722146410141576.25     
   389960000.00000000      ,   685574577625491.25     
   403440000.00000000      ,   652722319270507.00     
   416920000.00000000      ,   623130039182335.75     
   430400000.00000000      ,   596399239527033.75     
   443880000.00000000      ,   572185121395563.88     
   457360000.00000000      ,   550189530490385.25     
   470840000.00000000      ,   530154537867177.12     
   484320000.00000000      ,   511856756969955.56     
   497800000.00000000      ,   495102397515083.38     
   511280000.00000000      ,   479723006791492.19     
   524760000.00000000      ,   465571827536897.88     
   538240000.00000000      ,   452520695797884.62     
   551720000.00000000      ,   440457404595055.38     
   565200000.00000000      ,   429283465511640.75     
   578680000.00000000      ,   418912208109487.75     
   592160000.00000000      ,   409267165057412.12     
   605640000.00000000      ,   400280698377660.75     
   619120000.00000000      ,   391892828983664.94     
   632600000.00000000      ,   384050237603872.62     
   646080000.00000000      ,   376705410275951.19     
   659560000.00000000      ,   369815905919096.00     
   673040000.00000000      ,   363343727136108.38     
   686520000.00000000      ,   357254778452153.62     
   700000000.00000000      ,   351518398751269.94     
