 nuclei,nninteraction,density,pycno_rate
 C-C,RMF-bcc-relax       ,   31250000000.000000      ,   1.2220637257035105E+027
 C-C,RMF-bcc-relax       ,   31560000000.000000      ,   1.4649022640434110E+027
 C-C,RMF-bcc-relax       ,   31870000000.000000      ,   1.7500702710909948E+027
 C-C,RMF-bcc-relax       ,   32180000000.000000      ,   2.0882883438933464E+027
 C-C,RMF-bcc-relax       ,   32490000000.000000      ,   2.4876941098433959E+027
 C-C,RMF-bcc-relax       ,   32800000000.000000      ,   2.9585026278044541E+027
 C-C,RMF-bcc-relax       ,   33110000000.000000      ,   3.5126211459019764E+027
 C-C,RMF-bcc-relax       ,   33420000000.000000      ,   4.1583429388745793E+027
 C-C,RMF-bcc-relax       ,   33730000000.000000      ,   4.9152180338891218E+027
 C-C,RMF-bcc-relax       ,   34040000000.000000      ,   5.8034332505314889E+027
 C-C,RMF-bcc-relax       ,   34350000000.000000      ,   6.8431753672646098E+027
 C-C,RMF-bcc-relax       ,   34660000000.000000      ,   8.0399383105791637E+027
 C-C,RMF-bcc-relax       ,   34970000000.000000      ,   9.4441335412513486E+027
 C-C,RMF-bcc-relax       ,   35280000000.000000      ,   1.1082427151949444E+028
 C-C,RMF-bcc-relax       ,   35590000000.000000      ,   1.2955409308034643E+028
 C-C,RMF-bcc-relax       ,   35900000000.000000      ,   1.5150042031134122E+028
 C-C,RMF-bcc-relax       ,   36210000000.000000      ,   1.7667376724205077E+028
 C-C,RMF-bcc-relax       ,   36520000000.000000      ,   2.0589135594893015E+028
 C-C,RMF-bcc-relax       ,   36830000000.000000      ,   2.3952898046608050E+028
 C-C,RMF-bcc-relax       ,   37140000000.000000      ,   2.7820046301098870E+028
 C-C,RMF-bcc-relax       ,   37450000000.000000      ,   3.2282952353669107E+028
 C-C,RMF-bcc-relax       ,   37760000000.000000      ,   3.7379754353777892E+028
 C-C,RMF-bcc-relax       ,   38070000000.000000      ,   4.3246916476152590E+028
 C-C,RMF-bcc-relax       ,   38380000000.000000      ,   4.9952700844617028E+028
 C-C,RMF-bcc-relax       ,   38690000000.000000      ,   5.7613561824804258E+028
 C-C,RMF-bcc-relax       ,   39000000000.000000      ,   6.6409565512446766E+028
