 r,TotEnergy
   0.0000000000000000      ,   29.355842617786717     
   1.0000000000000000      ,   9.7935558905893920     
   2.0000000000000000      ,  -2.4405091850733309     
   3.0000000000000000      ,  -5.1330761250147763     
   4.0000000000000000      ,   3.4113685231490938     
   5.0000000000000000      ,   8.9053333682025180     
   6.0000000000000000      ,   8.2632752129625491     
   7.0000000000000000      ,   7.1127411103789662     
   8.0000000000000000      ,   6.1932323502101276     
   9.0000000000000000      ,   5.4738160407779244     
   10.000000000000000      ,   4.8979676923759659     
   11.000000000000000      ,   4.4267954840013584     
   12.000000000000000      ,   4.0341502037499639     
   13.000000000000000      ,   3.7019117563935953     
   14.000000000000000      ,   3.4171359322177710     
   15.000000000000000      ,   3.1703302179320567     
   16.000000000000000      ,   2.9543752179320566     
   17.000000000000000      ,   2.7638266885202918     
   18.000000000000000      ,   2.5944502179320565     
   19.000000000000000      ,   2.4429028495110039     
   20.000000000000000      ,   2.3065102179320567     
   21.000000000000000      ,   2.1831073607891995     
   22.000000000000000      ,   2.0709229452047837     
   23.000000000000000      ,   1.9684936961929260     
