 nuclei,nninteraction,density,pycno_rate
 C-C,RMF-bcc-relax       ,   2962600000000.0000      ,   1.1337653047360051E+053
 C-C,RMF-bcc-relax       ,   3002500000000.0000      ,   1.2793321328965881E+053
 C-C,RMF-bcc-relax       ,   3042400000000.0000      ,   1.4380810860538842E+053
 C-C,RMF-bcc-relax       ,   3082300000000.0000      ,   1.6145508889683045E+053
 C-C,RMF-bcc-relax       ,   3122200000000.0000      ,   1.8118993598008353E+053
 C-C,RMF-bcc-relax       ,   3162100000000.0000      ,   2.0246923510674141E+053
 C-C,RMF-bcc-relax       ,   3202000000000.0000      ,   2.2668131033425417E+053
 C-C,RMF-bcc-relax       ,   3241900000000.0000      ,   2.5237510897618177E+053
 C-C,RMF-bcc-relax       ,   3281800000000.0000      ,   2.8153865999918922E+053
 C-C,RMF-bcc-relax       ,   3321700000000.0000      ,   3.1281306383116289E+053
 C-C,RMF-bcc-relax       ,   3361600000000.0000      ,   3.4751116491461495E+053
 C-C,RMF-bcc-relax       ,   3401500000000.0000      ,   3.8572271681042195E+053
 C-C,RMF-bcc-relax       ,   3441400000000.0000      ,   4.2676335874885900E+053
 C-C,RMF-bcc-relax       ,   3481300000000.0000      ,   4.7342276808090185E+053
 C-C,RMF-bcc-relax       ,   3521200000000.0000      ,   5.2182488250009940E+053
 C-C,RMF-bcc-relax       ,   3561100000000.0000      ,   5.7873828477153517E+053
 C-C,RMF-bcc-relax       ,   3601000000000.0000      ,   6.3578984742418358E+053
 C-C,RMF-bcc-relax       ,   3640900000000.0000      ,   7.0527408204716095E+053
 C-C,RMF-bcc-relax       ,   3680800000000.0000      ,   7.7280855734980230E+053
 C-C,RMF-bcc-relax       ,   3720700000000.0000      ,   8.5058717053235653E+053
 C-C,RMF-bcc-relax       ,   3760600000000.0000      ,   9.4186214235737222E+053
 C-C,RMF-bcc-relax       ,   3800500000000.0000      ,   1.0330660331473921E+054
 C-C,RMF-bcc-relax       ,   3840400000000.0000      ,   1.1349921382356583E+054
 C-C,RMF-bcc-relax       ,   3880300000000.0000      ,   1.2317650420500742E+054
 C-C,RMF-bcc-relax       ,   3920200000000.0000      ,   1.3405886268045687E+054
 C-C,RMF-bcc-relax       ,   3960100000000.0000      ,   1.4647097709757818E+054
 C-C,RMF-bcc-relax       ,   4000000000000.0000      ,   1.5866962655288137E+054
