   14.20   2    1.2429e+02  -8.2561e-02  -8.1912e-02  -1.6447e-01   1.2412e+02
   14.10   2    1.2515e+02  -9.6438e-02  -9.6915e-02  -1.9335e-01   1.2495e+02
   14.00   2    1.2602e+02  -1.1204e-01  -1.1463e-01  -2.2667e-01   1.2579e+02
   13.90   2    1.2691e+02  -1.2995e-01  -1.3554e-01  -2.6549e-01   1.2664e+02
   13.80   2    1.2780e+02  -1.5085e-01  -1.6021e-01  -3.1106e-01   1.2749e+02
   13.70   2    1.2871e+02  -1.7508e-01  -1.8929e-01  -3.6438e-01   1.2835e+02
   13.60   2    1.2964e+02  -2.0257e-01  -2.2357e-01  -4.2614e-01   1.2921e+02
   13.50   2    1.3057e+02  -2.3480e-01  -2.6393e-01  -4.9873e-01   1.3007e+02
   13.40   2    1.3152e+02  -2.7117e-01  -3.1145e-01  -5.8263e-01   1.3094e+02
   13.30   2    1.3249e+02  -3.1281e-01  -3.6736e-01  -6.8017e-01   1.3181e+02
   13.20   2    1.3346e+02  -3.6043e-01  -4.3308e-01  -7.9351e-01   1.3267e+02
   13.10   2    1.3446e+02  -4.1453e-01  -5.1030e-01  -9.2483e-01   1.3353e+02
   13.00   2    1.3546e+02  -4.7570e-01  -6.0097e-01  -1.0767e+00   1.3439e+02
   12.90   2    1.3649e+02  -5.4597e-01  -7.0736e-01  -1.2533e+00   1.3523e+02
   12.80   2    1.3752e+02  -6.2512e-01  -8.3208e-01  -1.4572e+00   1.3607e+02
   12.70   2    1.3858e+02  -7.1446e-01  -9.7820e-01  -1.6927e+00   1.3688e+02
   12.60   2    1.3964e+02  -8.1494e-01  -1.1492e+00  -1.9642e+00   1.3768e+02
   12.50   2    1.4073e+02  -9.2779e-01  -1.3493e+00  -2.2770e+00   1.3845e+02
   12.40   2    1.4183e+02  -1.0536e+00  -1.5830e+00  -2.6366e+00   1.3919e+02
   12.30   2    1.4295e+02  -1.1941e+00  -1.8558e+00  -3.0499e+00   1.3990e+02
   12.20   2    1.4409e+02  -1.3499e+00  -2.1740e+00  -3.5239e+00   1.4056e+02
   12.10   2    1.4524e+02  -1.5226e+00  -2.5447e+00  -4.0673e+00   1.4117e+02
   12.00   2    1.4641e+02  -1.7128e+00  -2.9761e+00  -4.6889e+00   1.4172e+02
   11.90   2    1.4760e+02  -1.9217e+00  -3.4775e+00  -5.3992e+00   1.4220e+02
   11.80   3    1.4881e+02  -2.1493e+00  -4.0596e+00  -6.2089e+00   1.4260e+02
   11.70   3    1.5004e+02  -2.3964e+00  -4.7346e+00  -7.1310e+00   1.4291e+02
   11.60   3    1.5129e+02  -2.6629e+00  -5.5161e+00  -8.1790e+00   1.4311e+02
   11.50   3    1.5256e+02  -2.9482e+00  -6.4197e+00  -9.3680e+00   1.4319e+02
   11.40   3    1.5385e+02  -3.2518e+00  -7.4630e+00  -1.0715e+01   1.4314e+02
   11.30   3    1.5517e+02  -3.5724e+00  -8.6657e+00  -1.2238e+01   1.4293e+02
   11.20   3    1.5651e+02  -3.9073e+00  -1.0050e+01  -1.3957e+01   1.4255e+02
   11.10   3    1.5786e+02  -4.2537e+00  -1.1640e+01  -1.5894e+01   1.4197e+02
   11.00   3    1.5924e+02  -4.6078e+00  -1.3464e+01  -1.8072e+01   1.4117e+02
   10.90   3    1.6064e+02  -4.9638e+00  -1.5551e+01  -2.0515e+01   1.4013e+02
   10.80   3    1.6207e+02  -5.3156e+00  -1.7936e+01  -2.3252e+01   1.3882e+02
   10.70   3    1.6352e+02  -5.6552e+00  -2.0655e+01  -2.6310e+01   1.3721e+02
   10.60   3    1.6499e+02  -5.9736e+00  -2.3748e+01  -2.9722e+01   1.3527e+02
   10.50   3    1.6649e+02  -6.2597e+00  -2.7259e+01  -3.3519e+01   1.3298e+02
   10.40   3    1.6802e+02  -6.5016e+00  -3.1234e+01  -3.7736e+01   1.3028e+02
   10.30   3    1.6957e+02  -6.6845e+00  -3.5726e+01  -4.2410e+01   1.2716e+02
   10.20   4    1.7115e+02  -6.7928e+00  -4.0787e+01  -4.7580e+01   1.2357e+02
   10.10   4    1.7276e+02  -6.8089e+00  -4.6475e+01  -5.3284e+01   1.1947e+02
   10.00   4    1.7439e+02  -6.7143e+00  -5.2852e+01  -5.9566e+01   1.1482e+02
    9.90   4    1.7605e+02  -6.4870e+00  -5.9981e+01  -6.6468e+01   1.0959e+02
    9.80   4    1.7774e+02  -6.1064e+00  -6.7929e+01  -7.4035e+01   1.0371e+02
    9.70   4    1.7946e+02  -5.5485e+00  -7.6768e+01  -8.2317e+01   9.7147e+01
    9.60   4    1.8121e+02  -4.7901e+00  -8.6562e+01  -9.1352e+01   8.9861e+01
    9.50   4    1.8299e+02  -3.8060e+00  -9.7387e+01  -1.0119e+02   8.1799e+01
    9.40   4    1.8480e+02  -2.5723e+00  -1.0933e+02  -1.1190e+02   7.2904e+01
    9.30   4    1.8664e+02  -1.0630e+00  -1.2243e+02  -1.2349e+02   6.3150e+01
    9.20   5    1.8851e+02   7.4476e-01  -1.3628e+02  -1.3553e+02   5.2979e+01
    9.10   5    1.9041e+02   2.8753e+00  -1.5127e+02  -1.4840e+02   4.2019e+01
    9.00   5    1.9235e+02   5.3506e+00  -1.6748e+02  -1.6213e+02   3.0215e+01
    8.90   5    1.9431e+02   8.1926e+00  -1.8493e+02  -1.7674e+02   1.7574e+01
